search_record_id	species	gene_search_term	gene_id	gene_name	gene_description	chromosome	aliases	gene_status	current_gene_id	protein_uid	protein_accession	protein_title	protein_length	query
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			8163743	AAF73836.1	NKG2-A- [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			8163741	AAF73835.1	NKG2A [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3272850161	NP_001028001.3	NKG2-A/NKG2-B type II integral membrane protein [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3129256099	XP_077809683.1	NKG2-A/NKG2-B type II integral membrane protein isoform X3 [Macaca mulatta]	201	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3129256095	XP_077809682.1	NKG2-A/NKG2-B type II integral membrane protein isoform X2 [Macaca mulatta]	215	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3129256092	XP_077809681.1	NKG2-A/NKG2-B type II integral membrane protein isoform X2 [Macaca mulatta]	215	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3129256089	XP_077809680.1	NKG2-A/NKG2-B type II integral membrane protein isoform X1 [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			3272997355	NP_001305287.3	NKG2-C type II integral membrane protein isoform 1 [Macaca mulatta]	231	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			3272913643	NP_001098647.3	NKG2-C type II integral membrane protein isoform 2 [Macaca mulatta]	231	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			3129249937	XP_077808402.1	NKG2-C type II integral membrane protein isoform X1 [Macaca mulatta]	246	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			51241573	CAE51862.1	NKG2C protein [Macaca mulatta]	231	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			20978530	Q9MZK6.1	RecName: Full=NKG2-C type II integral membrane protein; AltName: Full=CD159 antigen-like family member C; AltName: Full=NK cell receptor C; AltName: Full=NKG2-C-activating NK receptor; AltName: CD_antigen=CD159c	231	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			11344852	AAG34502.1	NKG2-C [Macaca mulatta]	231	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			3272997355	NP_001305287.3	NKG2-C type II integral membrane protein isoform 1 [Macaca mulatta]	231	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			3272913643	NP_001098647.3	NKG2-C type II integral membrane protein isoform 2 [Macaca mulatta]	231	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	114670780	KLRC2	killer cell lectin like receptor C2	11	CD159c, NKG2-C, nkg2C			3129249937	XP_077808402.1	NKG2-C type II integral membrane protein isoform X1 [Macaca mulatta]	246	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	100125588	KLRC2	killer cell lectin-like receptor subfamily C, member 2	11		1	114670780					Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	709885	KLRC2	killer cell lectin like receptor C2	11	NKG2-C	1	114670780					Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	709700	KLRC2	killer cell lectin-like receptor subfamily C, member 2	11		1	114670780					Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			3129249949	XP_077808405.1	natural killer cells antigen CD94 isoform X2 [Macaca mulatta]	179	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			3129249946	XP_077808404.1	natural killer cells antigen CD94 isoform X1 [Macaca mulatta]	180	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			3129249943	XP_077808403.1	natural killer cells antigen CD94 isoform X1 [Macaca mulatta]	180	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			3129249940	XP_015006473.2	natural killer cells antigen CD94 isoform X1 [Macaca mulatta]	180	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			74136217	NP_001028000.1	natural killer cells antigen CD94 [Macaca mulatta]	179	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			51241565	CAE51858.1	CD94 protein [Macaca mulatta]	179	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			20978415	Q9MZK9.1	RecName: Full=Natural killer cells antigen CD94; AltName: Full=Killer cell lectin-like receptor subfamily D member 1; AltName: Full=NK cell receptor; AltName: CD_antigen=CD94	179	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			11344844	AAG34498.1	CD94 [Macaca mulatta]	179	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			8347155	AAF74529.1	CD94 [Macaca mulatta]	148	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			8347153	AAF74528.1	CD94-B [Macaca mulatta]	180	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			8347151	AAF74527.1	CD94 [Macaca mulatta]	179	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			3129249949	XP_077808405.1	natural killer cells antigen CD94 isoform X2 [Macaca mulatta]	179	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			3129249946	XP_077808404.1	natural killer cells antigen CD94 isoform X1 [Macaca mulatta]	180	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			3129249943	XP_077808403.1	natural killer cells antigen CD94 isoform X1 [Macaca mulatta]	180	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			3129249940	XP_015006473.2	natural killer cells antigen CD94 isoform X1 [Macaca mulatta]	180	Macaca mulatta[Organism] AND KLRD1[All Fields]
rhesus_KLRD1	Macaca mulatta	KLRD1	574145	KLRD1	killer cell lectin like receptor D1	11	CD94, CD94-B			74136217	NP_001028000.1	natural killer cells antigen CD94 [Macaca mulatta]	179	Macaca mulatta[Organism] AND KLRD1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513743	XP_070928362.1	NKG2-A/NKG2-B type II integral membrane protein isoform X4 [Macaca nemestrina]	201	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513737	XP_070928361.1	NKG2-A/NKG2-B type II integral membrane protein isoform X3 [Macaca nemestrina]	208	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513733	XP_070928360.1	NKG2-A/NKG2-B type II integral membrane protein isoform X2 [Macaca nemestrina]	215	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513729	XP_070928359.1	NKG2-A/NKG2-B type II integral membrane protein isoform X2 [Macaca nemestrina]	215	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513722	XP_070928358.1	NKG2-A/NKG2-B type II integral membrane protein isoform X1 [Macaca nemestrina]	233	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513718	XP_070928357.1	NKG2-A/NKG2-B type II integral membrane protein isoform X1 [Macaca nemestrina]	233	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513743	XP_070928362.1	NKG2-A/NKG2-B type II integral membrane protein isoform X4 [Macaca nemestrina]	201	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513737	XP_070928361.1	NKG2-A/NKG2-B type II integral membrane protein isoform X3 [Macaca nemestrina]	208	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513733	XP_070928360.1	NKG2-A/NKG2-B type II integral membrane protein isoform X2 [Macaca nemestrina]	215	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513729	XP_070928359.1	NKG2-A/NKG2-B type II integral membrane protein isoform X2 [Macaca nemestrina]	215	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513722	XP_070928358.1	NKG2-A/NKG2-B type II integral membrane protein isoform X1 [Macaca nemestrina]	233	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC1	Macaca nemestrina	KLRC1	105499932	LOC105499932	NKG2-A/NKG2-B type II integral membrane protein	10	KLRC1			2898513718	XP_070928357.1	NKG2-A/NKG2-B type II integral membrane protein isoform X1 [Macaca nemestrina]	233	Macaca nemestrina[Organism] AND KLRC1[All Fields]
pigtail_KLRC2	Macaca nemestrina	KLRC2	139356889	KLRC2	killer cell lectin like receptor C2	10				2898513671	XP_070928345.1	NKG2-C type II integral membrane protein [Macaca nemestrina]	231	Macaca nemestrina[Organism] AND KLRC2[All Fields]
pigtail_KLRC2	Macaca nemestrina	KLRC2	139356889	KLRC2	killer cell lectin like receptor C2	10				2898513671	XP_070928345.1	NKG2-C type II integral membrane protein [Macaca nemestrina]	231	Macaca nemestrina[Organism] AND KLRC2[All Fields]
pigtail_KLRD1	Macaca nemestrina	KLRD1	105499930	KLRD1	killer cell lectin like receptor D1	10				795489681	XP_011771122.1	natural killer cells antigen CD94 isoform X2 [Macaca nemestrina]	179	Macaca nemestrina[Organism] AND KLRD1[All Fields]
pigtail_KLRD1	Macaca nemestrina	KLRD1	105499930	KLRD1	killer cell lectin like receptor D1	10				795489675	XP_011771121.1	natural killer cells antigen CD94 isoform X1 [Macaca nemestrina]	180	Macaca nemestrina[Organism] AND KLRD1[All Fields]
pigtail_KLRD1	Macaca nemestrina	KLRD1	105499930	KLRD1	killer cell lectin like receptor D1	10				795489681	XP_011771122.1	natural killer cells antigen CD94 isoform X2 [Macaca nemestrina]	179	Macaca nemestrina[Organism] AND KLRD1[All Fields]
pigtail_KLRD1	Macaca nemestrina	KLRD1	105499930	KLRD1	killer cell lectin like receptor D1	10				795489675	XP_011771121.1	natural killer cells antigen CD94 isoform X1 [Macaca nemestrina]	180	Macaca nemestrina[Organism] AND KLRD1[All Fields]
