search_id	rank	species_common	species_scientific	target	protein_uid	accession	protein_title	taxid	sequence_length	update_date	query	curation_decision	curation_notes
rhesus_NKG2C	11	rhesus_macaque	Macaca mulatta	NKG2C	3129249937	XP_077808402.1	NKG2-C type II integral membrane protein isoform X1 [Macaca mulatta]	9544	246	2025/12/09	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	12	rhesus_macaque	Macaca mulatta	NKG2C	11344852	AAG34502.1	NKG2-C [Macaca mulatta]	9544	231	2001/04/12	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	13	rhesus_macaque	Macaca mulatta	NKG2C	11344850	AAG34501.1	NKG2-C [Macaca mulatta]	9544	231	2001/04/12	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	14	rhesus_macaque	Macaca mulatta	NKG2C	11344848	AAG34500.1	NKG2-C [Macaca mulatta]	9544	143	2001/04/12	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	15	rhesus_macaque	Macaca mulatta	NKG2C	11344846	AAG34499.1	NKG2-C [Macaca mulatta]	9544	163	2001/04/12	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	16	rhesus_macaque	Macaca mulatta	NKG2C	8347169	AAF74536.1	NKG2-C [Macaca mulatta]	9544	198	2000/06/13	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	17	rhesus_macaque	Macaca mulatta	NKG2C	8347163	AAF74533.1	NKG2-C [Macaca mulatta]	9544	231	2000/06/13	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	18	rhesus_macaque	Macaca mulatta	NKG2C	8347161	AAF74532.1	NKG2-C [Macaca mulatta]	9544	231	2000/06/13	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	19	rhesus_macaque	Macaca mulatta	NKG2C	8347159	AAF74531.1	NKG2-C [Macaca mulatta]	9544	231	2000/06/13	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	20	rhesus_macaque	Macaca mulatta	NKG2C	8347157	AAF74530.1	NKG2-C [Macaca mulatta]	9544	231	2000/06/13	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_KLRD1	1	rhesus_macaque	Macaca mulatta	CD94	20978530	Q9MZK6.1	RecName: Full=NKG2-C type II integral membrane protein; AltName: Full=CD159 antigen-like family member C; AltName: Full=NK cell receptor C; AltName: Full=NKG2-C-activating NK receptor; AltName: CD_antigen=CD159c	9544	231	2026/06/10	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	2	rhesus_macaque	Macaca mulatta	CD94	20978529	Q9MZJ7.1	RecName: Full=NKG2-D type II integral membrane protein; AltName: Full=Killer cell lectin-like receptor subfamily K member 1; AltName: Full=NK cell receptor D; AltName: Full=NKG2-D-activating NK receptor; AltName: CD_antigen=CD314	9544	216	2026/06/10	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	3	rhesus_macaque	Macaca mulatta	CD94	20978528	Q9MZJ3.1	RecName: Full=NKG2-A/NKG2-B type II integral membrane protein; AltName: Full=CD159 antigen-like family member A; AltName: Full=NK cell receptor A; AltName: Full=NKG2-A/B-activating NK receptor; AltName: CD_antigen=CD159a	9544	233	2026/06/10	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	4	rhesus_macaque	Macaca mulatta	CD94	20978415	Q9MZK9.1	RecName: Full=Natural killer cells antigen CD94; AltName: Full=Killer cell lectin-like receptor subfamily D member 1; AltName: Full=NK cell receptor; AltName: CD_antigen=CD94	9544	179	2026/06/10	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	5	rhesus_macaque	Macaca mulatta	CD94	3272997355	NP_001305287.3	NKG2-C type II integral membrane protein isoform 1 [Macaca mulatta]	9544	231	2026/05/25	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	6	rhesus_macaque	Macaca mulatta	CD94	3272913643	NP_001098647.3	NKG2-C type II integral membrane protein isoform 2 [Macaca mulatta]	9544	231	2026/05/25	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	7	rhesus_macaque	Macaca mulatta	CD94	3336078724	NP_001038194.3	NKG2-E type II integral membrane protein isoform 1 [Macaca mulatta]	9544	246	2026/05/21	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	8	rhesus_macaque	Macaca mulatta	CD94	3336077988	NP_001433603.1	NKG2-C type II integral membrane protein isoform 3 [Macaca mulatta]	9544	247	2026/05/21	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	9	rhesus_macaque	Macaca mulatta	CD94	3336073166	NP_001433604.1	NKG2-C type II integral membrane protein isoform 4 [Macaca mulatta]	9544	231	2026/05/21	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	10	rhesus_macaque	Macaca mulatta	CD94	3336071609	NP_001433602.1	NKG2-E type II integral membrane protein isoform 2 [Macaca mulatta]	9544	231	2026/05/21	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	11	rhesus_macaque	Macaca mulatta	CD94	3273399071	NP_001098063.5	NKG2-C type II integral membrane protein isoform 2 [Macaca mulatta]	9544	201	2026/05/21	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	12	rhesus_macaque	Macaca mulatta	CD94	3273397363	NP_001421588.2	NKG2-C type II integral membrane protein isoform 1 [Macaca mulatta]	9544	226	2026/05/21	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	13	rhesus_macaque	Macaca mulatta	CD94	3272850161	NP_001028001.3	NKG2-A/NKG2-B type II integral membrane protein [Macaca mulatta]	9544	233	2026/04/16	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	14	rhesus_macaque	Macaca mulatta	CD94	74136333	NP_001028061.1	NKG2-D type II integral membrane protein [Macaca mulatta]	9544	216	2026/01/19	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	15	rhesus_macaque	Macaca mulatta	CD94	74136217	NP_001028000.1	natural killer cells antigen CD94 [Macaca mulatta]	9544	179	2025/12/29	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	16	rhesus_macaque	Macaca mulatta	CD94	3135256808	YCG90216.1	natural killer group 2 C member 3 [Macaca mulatta]	9544	231	2025/12/27	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	17	rhesus_macaque	Macaca mulatta	CD94	3135256806	YCG90215.1	natural killer group 2 C member 3 [Macaca mulatta]	9544	231	2025/12/27	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	18	rhesus_macaque	Macaca mulatta	CD94	3135256804	YCG90214.1	natural killer group 2 C member 3 [Macaca mulatta]	9544	231	2025/12/27	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	19	rhesus_macaque	Macaca mulatta	CD94	3135256802	YCG90213.1	natural killer group 2 C member 3 [Macaca mulatta]	9544	231	2025/12/27	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
rhesus_KLRD1	20	rhesus_macaque	Macaca mulatta	CD94	3135256800	YCG90212.1	natural killer group 2 C member 2 [Macaca mulatta]	9544	231	2025/12/27	"Macaca mulatta[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
pigtail_NKG2C	1	pig_tailed_macaque	Macaca nemestrina	NKG2C	2898513671	XP_070928345.1	NKG2-C type II integral membrane protein [Macaca nemestrina]	9545	231	2026/07/20	"Macaca nemestrina[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
pigtail_KLRD1	1	pig_tailed_macaque	Macaca nemestrina	CD94	795489681	XP_011771122.1	natural killer cells antigen CD94 isoform X2 [Macaca nemestrina]	9545	179	2026/07/20	"Macaca nemestrina[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
pigtail_KLRD1	2	pig_tailed_macaque	Macaca nemestrina	CD94	795489675	XP_011771121.1	natural killer cells antigen CD94 isoform X1 [Macaca nemestrina]	9545	180	2026/07/20	"Macaca nemestrina[Organism] AND (""CD94""[All Fields] OR ""KLRD1""[All Fields] OR ""killer cell lectin like receptor D1""[All Fields])"		
